Jintra	DeltaJ	Freq1	Freq2	Freq3
-14.900000	-12.516667	0.000000	17.000641	17.000641
-14.900000	-13.013333	0.000000	17.147383	17.147383
-14.900000	-13.510000	0.000000	17.296665	17.296665
-14.900000	-14.006667	0.000000	17.448226	17.448226
-14.900000	-14.503333	25.085105	17.601803	42.686909
-14.900000	-15.000000	24.968183	17.757143	42.725326
-15.800000	-0.100000	0.000000	15.800145	15.800145
-15.800000	-0.596667	0.000000	15.805162	15.805162
-15.800000	-1.093333	0.000000	15.817321	15.817321
-15.800000	-1.590000	0.000000	15.836590	15.836590
-15.800000	-2.086667	0.000000	15.862923	15.862923
-15.800000	-2.583333	0.000000	15.896255	15.896255
-15.800000	-3.080000	0.000000	15.936503	15.936503
-15.800000	-3.576667	0.000000	15.983571	15.983571
-15.800000	-4.073333	0.000000	16.037343	16.037343
-15.800000	-4.570000	0.000000	16.097693	16.097693
-15.800000	-5.066667	0.000000	16.164478	16.164478
-15.800000	-5.563333	0.000000	16.237541	16.237541
-15.800000	-6.060000	0.000000	16.316716	16.316716
-15.800000	-6.556667	0.000000	16.401823	16.401823
-15.800000	-7.053333	0.000000	16.492673	16.492673
-15.800000	-7.550000	0.000000	16.589066	16.589066
-15.800000	-8.046667	0.000000	16.690796	16.690796
-15.800000	-8.543333	0.000000	16.797648	16.797648
-15.800000	-9.040000	0.000000	16.909401	16.909401
-15.800000	-9.536667	0.000000	17.025829	17.025829
-15.800000	-10.033333	0.000000	17.146700	17.146700
-15.800000	-10.530000	0.000000	17.271781	17.271781
-15.800000	-11.026667	0.000000	17.400833	17.400833
-15.800000	-11.523333	0.000000	17.533619	17.533619
-15.800000	-12.020000	0.000000	17.669897	17.669897
-15.800000	-12.516667	0.000000	17.809427	17.809427
-15.800000	-13.013333	0.000000	17.951969	17.951969
-15.800000	-13.510000	0.000000	18.097283	18.097283
-15.800000	-14.006667	0.000000	18.245130	18.245130
-15.800000	-14.503333	0.000000	18.395276	18.395276
-15.800000	-15.000000	0.000000	18.547487	18.547487
-16.700000	-0.100000	0.000000	16.700137	16.700137
-16.700000	-0.596667	0.000000	16.704884	16.704884
-16.700000	-1.093333	0.000000	16.716389	16.716389
-16.700000	-1.590000	0.000000	16.734626	16.734626
-16.700000	-2.086667	0.000000	16.759555	16.759555
-16.700000	-2.583333	0.000000	16.791121	16.791121
-16.700000	-3.080000	0.000000	16.829254	16.829254
-16.700000	-3.576667	0.000000	16.873871	16.873871
-16.700000	-4.073333	0.000000	16.924876	16.924876
-16.700000	-4.570000	0.000000	16.982159	16.982159
-16.700000	-5.066667	0.000000	17.045599	17.045599
-16.700000	-5.563333	0.000000	17.115062	17.115062
-16.700000	-6.060000	0.000000	17.190404	17.190404
-16.700000	-6.556667	0.000000	17.271471	17.271471
-16.700000	-7.053333	0.000000	17.358100	17.358100
-16.700000	-7.550000	0.000000	17.450119	17.450119
-16.700000	-8.046667	0.000000	17.547347	17.547347
